art_codigo;art_nombre;art_subgrupo;art_empresa;art_medida;art_tarifa;art_descripcion;art_tipoarticulo;art_tipodestino;art_tarifa_consumo;art_referencia;art_econ_codigo;art_estado;art_gravado;art_img_nombre;art_img_ubicacion;gru_id;tip_id;art_tienetarifacondicionada;art_nrouvt_tarifacondicion;art_tarifacondicionada;econ_id;tir_codigo;art_dia_sin_iva;artdpto_id;art_peso;art_tarifa_consumo_esp;art_tarcons_mayorvlriva;art_precio_venta;art_cantidad;art_precio_costo
403;Bolsa Transparente Plast 10 X 16;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;403;;Activo;true;;;1579;564;;;;3639;NOAPLICA;;;;;;2500;1;1055
405;Bolsa Transparenteplast 9 X 14;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;405;;Activo;true;;;1579;564;;;;3639;NOAPLICA;;;;;;1800;3;1064
413;Bolsa Transparente Plast 7 X 14;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;413;;Activo;true;;;1579;564;;;;3639;NOAPLICA;;;;;;1500;4;701
418;Palillos Para Dientes El Sol X Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707015506093;;Activo;true;;;1579;564;;;;3637;NOAPLICA;;;;;;700;9;556
447;Molde Para Cookies Aluminio X 25;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;447;;Activo;true;;;1584;564;;;;3637;NOAPLICA;;;;;;25000;6;17299
448;Platos Pandos Darnel 20 X 18 Cm;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;645667223807;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;2600;8;1737
451;Platos Pandos Darnel 20 X 15.5 Cm ;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;645667223784;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;1900;2;1089
47;Sabrimax  Leche E X 510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175886806;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;7500;3;4933
48;Sabrimax  Naranja X 510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175884130;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;7500;3;4978
498;Cucharitas Dulceras Tami Paq X 100;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;645667269546;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;2500;3;1946
